,Result,Time(s)
p1,9846,3
p2,8567,7
p3,9757,25
p4,12949,2
p5,10383,3
p6,7931,3
p7,9917,3
p8,11824,3
p9,11226,3
p10,8704,3
p11,10657,3
p12,11118,3
p13,10122,3
p14,8978,3
p15,11190,3
p16,13239,3
p17,10081,3
p18,8444,3
p19,9712,3
p20,12986,3
p21,9752,3
p22,8528,3
p23,9384,3
p24,14196,3
p25,13645,7
p26,11361,8
p27,13909,8
p28,16947,8
p29,13367,8
p30,11702,7
p31,13906,7
p32,16105,7
p33,13293,7
p34,10923,7
p35,14832,7
p36,15024,7
p37,13335,7
p38,10841,8
p39,12843,7
p40,14759,8
p41,7182,4
p42,6971,4
p43,6053,3
p44,9357,4
p45,7154,4
p46,7744,3
p47,8373,4
p48,6397,4
p49,6732,3
p50,9673,4
p51,9529,4
p52,11144,4
p53,12271,4
p54,9165,4
p55,9261,5
p56,26127,9
p57,34835,7
p58,45754,7
p59,32402,7
p60,27481,9
p61,33495,8
p62,41593,7
p63,33593,8
p64,33794,9
p65,38675,8
p66,38113,8
p67,32872,8
p68,25935,8
p69,35666,8
p70,42498,8
p71,29287,7
