,Result,Time(s)
p1,8863,32
p2,7920,32
p3,9314,29
p4,11115,28
p5,8976,29
p6,7781,30
p7,9577,29
p8,11476,27
p9,8561,31
p10,7617,31
p11,9027,32
p12,10132,31
p13,8606,33
p14,7164,32
p15,9079,32
p16,11720,32
p17,8404,32
p18,7428,33
p19,9394,32
p20,11068,31
p21,8144,33
p22,7120,33
p23,9828,33
p24,11121,33
p25,12639,76
p26,11312,76
p27,13022,76
p28,15022,76
p29,12914,70
p30,11892,74
p31,14489,74
p32,15808,71
p33,12220,76
p34,11285,76
p35,13485,77
p36,15723,77
p37,12200,77
p38,10984,77
p39,13063,77
p40,14984,77
p41,7104,47
p42,6650,45
p43,5913,42
p44,7128,45
p45,6757,44
p46,5884,40
p47,6257,48
p48,6246,43
p49,6131,41
p50,9252,49
p51,7922,53
p52,9180,47
p53,8776,51
p54,9052,47
p55,8581,53
p56,23161,99
p57,29357,98
p58,43833,92
p59,32420,97
p60,22493,98
p61,29479,98
p62,45463,99
p63,33290,99
p64,22398,98
p65,30012,98
p66,42813,98
p67,32058,98
p68,23040,98
p69,30508,98
p70,42003,98
p71,32740,98
